iteration,beta,position_limit,volatility_threshold,mean_profit,timestamp
1,0.239166,163,12.356292,2677.7815,2026-04-20 23:54:26
2,0.179458,368,4.199699,37.895,2026-04-21 00:06:15
3,0.138315,280,4.714402,58.8472,2026-04-21 00:17:35
4,0.195616,64,11.663985,2738.6498,2026-04-21 00:30:28
5,0.281627,21,14.906539,2141.6643,2026-04-21 00:40:56
6,0.185627,497,3.084796,40.17,2026-04-21 00:49:53
7,0.007896,429,7.798332,1663.262,2026-04-21 00:59:36
8,0.014953,780,5.793256,272.7658,2026-04-21 01:08:45
9,0.028091,502,7.589544,1566.69,2026-04-21 01:18:42
10,0.294986,384,13.319285,2100.6912,2026-04-21 01:28:59
11,0.204412,371,3.15918,26.8,2026-04-21 01:37:57
12,0.282718,459,7.624998,1187.2155,2026-04-21 01:48:14
13,0.005774,200,5.892306,387.6142,2026-04-21 01:57:16
14,0.205296,496,12.998339,2536.3373,2026-04-21 02:07:28
15,0.052836,325,5.186833,143.1738,2026-04-21 02:16:11
16,0.226853,352,5.4953,207.5067,2026-04-21 02:25:09
17,0.170742,44,13.107417,2863.3428,2026-04-21 02:35:08
18,0.135476,328,14.119906,3141.9425,2026-04-21 02:45:23
19,0.218454,275,9.845328,2283.2402,2026-04-21 02:55:23
20,0.156729,770,13.134406,2577.1157,2026-04-21 03:05:49
21,0.001,20,12.796269,2018.6293,2026-04-21 03:16:02
22,0.001,800,15.0,1981.1488,2026-04-21 03:26:14
23,0.001,800,11.048422,1277.0828,2026-04-21 03:36:34
24,0.142479,20,15.0,2674.156,2026-04-21 03:46:40
25,0.15558,800,15.0,2635.5953,2026-04-21 03:57:02
26,0.3,20,11.145765,1942.6367,2026-04-21 04:07:04
27,0.133162,20,12.998163,2597.2228,2026-04-21 04:17:11
28,0.155195,20,15.0,2703.9718,2026-04-21 04:27:22
29,0.112607,20,15.0,2845.38,2026-04-21 04:37:29
30,0.187672,800,15.0,2677.5367,2026-04-21 04:47:51
31,0.145039,20,11.551007,2572.8065,2026-04-21 04:57:59
32,0.103556,20,15.0,2851.8263,2026-04-21 05:08:28
33,0.130223,800,13.624166,2679.1267,2026-04-21 05:18:44
34,0.186901,20,15.0,2460.8608,2026-04-21 05:28:51
35,0.090601,20,15.0,2907.7892,2026-04-21 05:39:07
36,0.091395,800,15.0,3003.2535,2026-04-21 05:49:13
37,0.091452,20,15.0,2880.8765,2026-04-21 05:59:15
38,0.114668,20,13.704868,2803.776,2026-04-21 06:09:34
39,0.092397,800,15.0,2892.1433,2026-04-21 06:19:50
40,0.115028,800,13.684975,2869.7175,2026-04-21 06:29:55
41,0.093851,800,15.0,3165.6413,2026-04-21 06:40:00
42,0.083719,20,15.0,2958.5143,2026-04-21 06:50:21
43,0.087439,800,15.0,3149.915,2026-04-21 07:00:27
44,0.08835,800,15.0,3104.434,2026-04-21 07:10:55
45,0.104242,800,15.0,2894.4837,2026-04-21 07:21:11
