trial,condition,tid,ttype,final_profit,n_trades,final_inventory
0,stable,G00,GVWY,-8651.4,6462,-244
0,stable,G01,GVWY,-7376.5,6423,-415
0,stable,G02,GVWY,-8927.2,6420,-372
0,stable,G03,GVWY,-8149.0,6436,-120
0,stable,G04,GVWY,-8071.2,6454,-162
0,stable,Z05,ZIC,1103.4,596,304
0,stable,Z06,ZIC,828.0,574,250
0,stable,Z07,ZIC,1497.8,556,248
0,stable,Z08,ZIC,1263.8,568,238
0,stable,Z09,ZIC,1390.6,548,306
0,stable,S10,SHVR,-5874.6,5620,-136
0,stable,S11,SHVR,-4869.7,5553,-97
0,stable,S12,SHVR,-4948.8,5554,-28
0,stable,S13,SHVR,-5988.2,5608,188
0,stable,S14,SHVR,-5389.9,5547,141
0,stable,S15,SNPR,-1493.2,1236,-32
0,stable,S16,SNPR,-1736.6,1212,24
0,stable,S17,SNPR,-1696.7,1231,43
0,stable,S18,SNPR,-896.8,1228,-38
0,stable,S19,SNPR,-1382.7,1203,13
0,stable,Z20,ZIP,11748.2,3600,-168
0,stable,Z21,ZIP,14789.1,3745,-799
0,stable,Z22,ZIP,11486.0,3602,-280
0,stable,Z23,ZIP,10365.7,3487,-163
0,stable,Z24,ZIP,13366.2,3678,-528
0,stable,P25,PRSH,2296.1,997,471
0,stable,P26,PRSH,919.4,396,234
0,stable,P27,PRSH,2892.1,1377,591
0,stable,P28,PRSH,1153.3,497,313
0,stable,P29,PRSH,890.8,240,178
1,stable,G00,GVWY,-3763.4,6444,-242
1,stable,G01,GVWY,-6414.6,6457,-173
1,stable,G02,GVWY,-5536.4,6387,-197
1,stable,G03,GVWY,-7907.8,6422,-74
1,stable,G04,GVWY,-7835.4,6405,-117
1,stable,Z05,ZIC,-1722.6,572,322
1,stable,Z06,ZIC,-1855.6,556,292
1,stable,Z07,ZIC,-1471.8,542,286
1,stable,Z08,ZIC,-2460.2,608,374
1,stable,Z09,ZIC,-1793.6,588,332
1,stable,S10,SHVR,-5807.8,5613,1
1,stable,S11,SHVR,-5161.4,5567,-87
1,stable,S12,SHVR,-6468.8,5612,36
1,stable,S13,SHVR,-5544.0,5551,-15
1,stable,S14,SHVR,-7192.8,5577,131
1,stable,S15,SNPR,-1017.4,1247,13
1,stable,S16,SNPR,-702.0,1255,-35
1,stable,S17,SNPR,-805.0,1229,-55
1,stable,S18,SNPR,-973.2,1248,-36
1,stable,S19,SNPR,-558.8,1256,-44
1,stable,Z20,ZIP,14064.8,3590,-266
1,stable,Z21,ZIP,22278.6,3579,-917
1,stable,Z22,ZIP,17817.6,3464,-562
1,stable,Z23,ZIP,16893.4,3538,-488
1,stable,Z24,ZIP,14071.0,3554,-250
1,stable,P25,PRSH,-2348.4,767,433
1,stable,P26,PRSH,-789.6,272,202
1,stable,P27,PRSH,-1209.4,281,223
1,stable,P28,PRSH,-1198.2,371,309
1,stable,P29,PRSH,-3316.4,1123,573
2,stable,G00,GVWY,-10828.5,6452,-310
2,stable,G01,GVWY,-11485.6,6420,-316
2,stable,G02,GVWY,-9634.05,6429,-213
2,stable,G03,GVWY,-10285.3,6372,-298
2,stable,G04,GVWY,-11185.5,6354,-350
2,stable,Z05,ZIC,3209.3,580,258
2,stable,Z06,ZIC,3948.35,577,311
2,stable,Z07,ZIC,3406.9,548,254
2,stable,Z08,ZIC,4530.65,619,349
2,stable,Z09,ZIC,3698.4,580,264
2,stable,S10,SHVR,-4898.55,5527,-23
2,stable,S11,SHVR,-5836.7,5550,-22
2,stable,S12,SHVR,-5906.35,5549,49
2,stable,S13,SHVR,-6798.1,5542,-126
2,stable,S14,SHVR,-6631.35,5559,-91
2,stable,S15,SNPR,-850.5,1256,30
2,stable,S16,SNPR,-1835.55,1253,-43
2,stable,S17,SNPR,-1422.5,1232,-30
2,stable,S18,SNPR,-826.2,1256,8
2,stable,S19,SNPR,-812.55,1247,-3
2,stable,Z20,ZIP,10603.35,3559,-149
2,stable,Z21,ZIP,11255.4,3584,-136
2,stable,Z22,ZIP,6855.6,3566,-704
2,stable,Z23,ZIP,8609.9,3496,-186
2,stable,Z24,ZIP,8734.45,3565,-383
2,stable,P25,PRSH,4871.4,732,344
2,stable,P26,PRSH,4936.55,785,383
2,stable,P27,PRSH,2077.2,210,152
2,stable,P28,PRSH,8937.6,1686,676
2,stable,P29,PRSH,3626.85,587,261
3,stable,G00,GVWY,-9611.0,6447,-205
3,stable,G01,GVWY,-11373.4,6432,-436
3,stable,G02,GVWY,-7801.2,6477,-113
3,stable,G03,GVWY,-10458.6,6393,-339
3,stable,G04,GVWY,-10889.0,6432,-300
3,stable,Z05,ZIC,3213.0,529,285
3,stable,Z06,ZIC,2659.4,493,251
3,stable,Z07,ZIC,2782.8,501,247
3,stable,Z08,ZIC,2870.8,519,237
3,stable,Z09,ZIC,3101.6,539,289
3,stable,S10,SHVR,-4886.2,5578,-38
3,stable,S11,SHVR,-6831.4,5625,-81
3,stable,S12,SHVR,-6941.6,5659,-199
3,stable,S13,SHVR,-5529.0,5608,-60
3,stable,S14,SHVR,-6313.4,5615,79
3,stable,S15,SNPR,-1817.6,1226,-74
3,stable,S16,SNPR,-1589.2,1234,-88
3,stable,S17,SNPR,-1511.4,1251,39
3,stable,S18,SNPR,-1335.2,1243,7
3,stable,S19,SNPR,-1627.6,1237,-109
3,stable,Z20,ZIP,8147.0,3751,-705
3,stable,Z21,ZIP,10877.2,3610,-392
3,stable,Z22,ZIP,11283.0,3561,-95
3,stable,Z23,ZIP,8040.6,3570,-166
3,stable,Z24,ZIP,9974.0,3690,-330
3,stable,P25,PRSH,2320.0,246,190
3,stable,P26,PRSH,3114.0,486,270
3,stable,P27,PRSH,7566.8,1378,602
3,stable,P28,PRSH,4595.6,716,354
3,stable,P29,PRSH,7427.4,3016,736
4,stable,G00,GVWY,-6515.6,6404,-222
4,stable,G01,GVWY,-6357.3,6391,-191
4,stable,G02,GVWY,-2434.6,6392,-372
4,stable,G03,GVWY,-2125.1,6375,-487
4,stable,G04,GVWY,-2677.4,6466,-488
4,stable,Z05,ZIC,-1281.7,521,221
4,stable,Z06,ZIC,-2069.8,572,294
4,stable,Z07,ZIC,-1677.2,568,256
4,stable,Z08,ZIC,-1373.9,565,247
4,stable,Z09,ZIC,-1250.7,565,261
4,stable,S10,SHVR,-3629.2,5590,-24
4,stable,S11,SHVR,-5253.3,5565,19
4,stable,S12,SHVR,-4901.6,5646,-92
4,stable,S13,SHVR,-4646.4,5600,-28
4,stable,S14,SHVR,-3094.9,5589,-153
4,stable,S15,SNPR,-1583.2,1256,46
4,stable,S16,SNPR,-619.7,1217,-39
4,stable,S17,SNPR,-1043.7,1251,-19
4,stable,S18,SNPR,-207.7,1259,-69
4,stable,S19,SNPR,-1132.5,1261,35
4,stable,Z20,ZIP,11563.3,3427,-139
4,stable,Z21,ZIP,12188.1,3695,-273
4,stable,Z22,ZIP,13774.3,3565,-219
4,stable,Z23,ZIP,12585.7,3563,-241
4,stable,Z24,ZIP,17140.6,3646,-328
4,stable,P25,PRSH,-1510.9,309,277
4,stable,P26,PRSH,-2130.3,1069,459
4,stable,P27,PRSH,-4640.6,4810,518
4,stable,P28,PRSH,-626.0,232,160
4,stable,P29,PRSH,-2950.3,1155,529
5,stable,G00,GVWY,-8101.8,6372,-502
5,stable,G01,GVWY,-9093.5,6405,-365
5,stable,G02,GVWY,-7909.5,6353,-305
5,stable,G03,GVWY,-7959.7,6363,-433
5,stable,G04,GVWY,-7982.1,6355,-199
5,stable,Z05,ZIC,1916.8,544,312
5,stable,Z06,ZIC,1831.3,539,237
5,stable,Z07,ZIC,1219.1,557,259
5,stable,Z08,ZIC,1682.9,519,251
5,stable,Z09,ZIC,1721.7,533,273
5,stable,S10,SHVR,-5389.3,5481,-27
5,stable,S11,SHVR,-4310.9,5497,-141
5,stable,S12,SHVR,-5354.6,5536,-84
5,stable,S13,SHVR,-4518.3,5495,-147
5,stable,S14,SHVR,-4530.4,5484,-236
5,stable,S15,SNPR,-1732.1,1245,-79
5,stable,S16,SNPR,-1024.6,1248,-24
5,stable,S17,SNPR,-838.3,1243,13
5,stable,S18,SNPR,-934.6,1222,-34
5,stable,S19,SNPR,-1044.2,1254,-38
5,stable,Z20,ZIP,9136.0,3486,-110
5,stable,Z21,ZIP,9336.5,3489,-25
5,stable,Z22,ZIP,11724.2,3552,-212
5,stable,Z23,ZIP,10697.4,3558,-144
5,stable,Z24,ZIP,10209.7,3553,-97
5,stable,P25,PRSH,3082.3,981,487
5,stable,P26,PRSH,1381.3,221,167
5,stable,P27,PRSH,1483.3,333,217
5,stable,P28,PRSH,2097.8,300,252
5,stable,P29,PRSH,4120.7,1569,653
6,stable,G00,GVWY,-6378.3,6423,-161
6,stable,G01,GVWY,-8438.9,6441,-143
6,stable,G02,GVWY,-9191.1,6419,-217
6,stable,G03,GVWY,-8100.6,6370,-62
6,stable,G04,GVWY,-8364.5,6465,-265
6,stable,Z05,ZIC,1055.9,589,283
6,stable,Z06,ZIC,840.8,580,326
6,stable,Z07,ZIC,360.5,513,265
6,stable,Z08,ZIC,587.4,546,288
6,stable,Z09,ZIC,147.2,564,284
6,stable,S10,SHVR,-5618.9,5575,-153
6,stable,S11,SHVR,-5953.7,5597,-229
6,stable,S12,SHVR,-5840.5,5563,85
6,stable,S13,SHVR,-6980.9,5603,137
6,stable,S14,SHVR,-5250.9,5577,17
6,stable,S15,SNPR,-532.0,1238,-60
6,stable,S16,SNPR,-378.4,1224,12
6,stable,S17,SNPR,-1246.0,1222,-10
6,stable,S18,SNPR,-964.5,1235,-55
6,stable,S19,SNPR,-1283.8,1228,-36
6,stable,Z20,ZIP,13864.6,3556,-488
6,stable,Z21,ZIP,14178.7,3553,-251
6,stable,Z22,ZIP,11716.3,3595,-109
6,stable,Z23,ZIP,13572.0,3530,-230
6,stable,Z24,ZIP,15231.3,3605,-779
6,stable,P25,PRSH,880.9,943,493
6,stable,P26,PRSH,1135.4,652,278
6,stable,P27,PRSH,219.3,569,281
6,stable,P28,PRSH,767.0,268,220
6,stable,P29,PRSH,725.2,252,184
7,stable,G00,GVWY,-10929.0,6400,-240
7,stable,G01,GVWY,-9082.2,6400,-134
7,stable,G02,GVWY,-10488.4,6424,-298
7,stable,G03,GVWY,-11689.3,6413,-391
7,stable,G04,GVWY,-9272.1,6415,-187
7,stable,Z05,ZIC,2981.4,540,308
7,stable,Z06,ZIC,2712.0,512,240
7,stable,Z07,ZIC,3414.0,582,290
7,stable,Z08,ZIC,3130.4,574,298
7,stable,Z09,ZIC,3375.1,495,257
7,stable,S10,SHVR,-6541.1,5689,-147
7,stable,S11,SHVR,-6988.3,5597,-71
7,stable,S12,SHVR,-6362.8,5640,-56
7,stable,S13,SHVR,-6700.2,5676,-124
7,stable,S14,SHVR,-6358.1,5589,-107
7,stable,S15,SNPR,-1710.9,1283,-103
7,stable,S16,SNPR,-845.6,1236,-12
7,stable,S17,SNPR,-596.0,1228,20
7,stable,S18,SNPR,-1793.0,1222,-90
7,stable,S19,SNPR,-1146.9,1245,-53
7,stable,Z20,ZIP,11004.3,3665,-129
7,stable,Z21,ZIP,11474.7,3577,-251
7,stable,Z22,ZIP,11476.4,3524,-92
7,stable,Z23,ZIP,10898.2,3600,-526
7,stable,Z24,ZIP,11527.4,3536,-132
7,stable,P25,PRSH,3022.6,546,252
7,stable,P26,PRSH,2760.4,274,228
7,stable,P27,PRSH,2293.7,233,159
7,stable,P28,PRSH,5777.2,4846,584
7,stable,P29,PRSH,4857.8,838,436
8,stable,G00,GVWY,-5387.1,6462,-294
8,stable,G01,GVWY,-6664.45,6467,-133
8,stable,G02,GVWY,-5190.3,6444,-302
8,stable,G03,GVWY,-8299.55,6449,-127
8,stable,G04,GVWY,-3539.15,6471,-351
8,stable,Z05,ZIC,-901.95,491,237
8,stable,Z06,ZIC,-1260.35,505,261
8,stable,Z07,ZIC,-898.4,582,264
8,stable,Z08,ZIC,-1718.1,598,306
8,stable,Z09,ZIC,-975.65,569,279
8,stable,S10,SHVR,-4353.75,5667,-75
8,stable,S11,SHVR,-5529.55,5627,33
8,stable,S12,SHVR,-2772.95,5633,-263
8,stable,S13,SHVR,-6562.2,5622,12
8,stable,S14,SHVR,-6826.2,5652,92
8,stable,S15,SNPR,-119.6,1240,-84
8,stable,S16,SNPR,-1021.25,1255,-25
8,stable,S17,SNPR,-978.7,1256,-38
8,stable,S18,SNPR,-78.55,1259,-87
8,stable,S19,SNPR,4.95,1277,-57
8,stable,Z20,ZIP,15928.7,3624,-482
8,stable,Z21,ZIP,14075.85,3471,-311
8,stable,Z22,ZIP,12094.3,3592,-198
8,stable,Z23,ZIP,17718.9,3494,-514
8,stable,Z24,ZIP,15801.65,3531,-539
8,stable,P25,PRSH,-1154.9,1066,394
8,stable,P26,PRSH,-4629.6,2778,936
8,stable,P27,PRSH,-834.25,253,175
8,stable,P28,PRSH,-656.2,232,172
8,stable,P29,PRSH,-4015.3,3896,658
9,stable,G00,GVWY,-7609.45,6375,-271
9,stable,G01,GVWY,-5676.2,6342,-376
9,stable,G02,GVWY,-6620.75,6351,-285
9,stable,G03,GVWY,-6869.1,6342,-98
9,stable,G04,GVWY,-6350.9,6322,-342
9,stable,Z05,ZIC,224.85,545,263
9,stable,Z06,ZIC,-20.8,540,256
9,stable,Z07,ZIC,272.75,553,265
9,stable,Z08,ZIC,361.8,590,264
9,stable,Z09,ZIC,417.3,520,234
9,stable,S10,SHVR,-4898.4,5516,-72
